Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-01 13:08:15.015 +0100,"Success",0:00:00,0,0,0,"20160601_130815.015/LogFile.txt","","",1
2016-06-01 13:09:37.037 +0100,"Success",0:00:00,0,0,0,"20160601_130937.037/LogFile.txt","","",1
2016-06-01 13:19:20.020 +0100,"Success",0:00:00,0,0,0,"20160601_131920.020/LogFile.txt","","",1
2016-06-01 13:19:50.050 +0100,"Success",0:00:00,0,0,0,"20160601_131950.050/LogFile.txt","","",1
2016-06-01 13:20:15.015 +0100,"Success",0:00:00,0,0,0,"20160601_132015.015/LogFile.txt","","",1
2016-06-01 13:22:32.032 +0100,"Success",0:00:00,0,0,0,"20160601_132232.032/LogFile.txt","","",1
